Categoria,Titulo,Conteudo,Palavras Chave,URL
Cadastros Gerais 📜,Processo para importar e exportar certificado digital,"Processo para importar e exportar certificado digital
Tela: CDW0002 - Empresas
No cadastro de empresa foi habilitado o campo “Importação Certificado”
Para importar o arquivo o mesmo deve conter o tamanho de 10k, caso não esteja necessário realizar a importação e exportação das propriedades estendidas.
1º Passo Importação: No navegador IE – Internet Explorer clicar em Ferramentas > opções da internet > aba: conteúdo > no botão: certificados
Na próxima, no botão: Importar.
Na próxima, no botão: Avançar.
Na próxima, no botão: Procurar.
Na próxima: No Listbox selecionar “Todos os arquivos”.
Selecionar o arquivo e clicar no abrir.
Na próxima, no botão: Avançar.
Na próxima: Digitar a senha, marcar o Checkbox: marcar esta chave como exportável e incluir
todas as propriedades estendidas. Avançar.
Na próxima, no botão: Avançar.
Na próxima, no botão: Concluir.
Finalizado o processo de Importação.
2º Passo: Exportação.
Na tela, selecionar o certificado importado e clicar em Exportar.
Na próxima, no botão: Avançar.
Na próxima, marcar: Sim, exportar a chave privada e avançar.
Na próxima, marcar: as opções abaixo e avançar.
- Incluir todos os certificados no caminho de certificação, se possível
- Excluir a chave privada se a exportação tiver êxito.
- Exportar todas as propriedades estendidas.
Na próxima: Colocar a senha e avançar.
Na próxima: Clicar no procurar, selecionar o local onde será salvo o arquivo, nomear e clicar em salvar.
Na próxima: Avançar.
Na próxima: Concluir.
Finalizado o processo de Exportação.
Encerrar as páginas abertas, e conferir se o arquivo exportado gerou o tamanho correto.
3º Passo: Inserir na aplicação o arquivo já exportado.
Entrar no cadastro da empresa e buscar o arquivo no local salvo, colocar senha e gravar.
Link para Download
/modelos_de_imagem_suporte/processo_para_importar_e_exportar_certificado_digital.docx","certificado, importar, certificado digital, exportar",https://unoerpwiki.herokuapp.com/Suporte/Cadastros/Certificado
Cadastros Gerais 📜,Cadastro de CEP,"Cadastro de CEP
Tela: 	Corpo:
Problema
Ao buscar o CEP na tela de clientes ou pedidos não é apresentado o resultado nos dados do endereço.
Isso ocorre quando o CEP não consta na nossa base de CEP, o UNO tem uma base própria de CEP por isso não faz a consulta direto no site dos Correios:
Primeiro passo é realizar a busca no site dos Correios pois usamos a informação disponibilizada no site para atualizar a nossa base:
https://buscacepinter.correios.com.br/app/endereco/index.php
No exemplo estamos usando o cep 23970-000 de Paraty, conforme abaixo exibe apenas a localidade e UF, o bairro está em branco, logo trata-se de um cep geral:
Agora que já temos os dados do endereço, precisamos validar primeiro se o município consta cadastrado no banco de NFe na tabela gm_cada_municipio:
Acessamos a tabela e buscamos pelo nome: nome like '%parat%'
Conforme acima não tem o munípio cadastrado, dessa forma será necessário realizar o cadastro, vamos buscar o código IBGE desse munícipio que corresponde ao campo `PK_Municipio`acima.
Usamos o link abaixo para realizar a busca pelo código IBGE:
https://cidades.ibge.gov.br/
Acessamos o site:
Clica no Menu abaixo:
Abrindo o Menu vamos clicar em Municípios >> Rio de Janeiro e localizar o munícipio de Paraty:
Localizando o município conseguimos identificar o código IBGE dele:
Agora que temos o código IBGE vamos realizar o cadastro:
Acessamos a tabela gm_cada_uf para saber qual código definir no campo em FK_UF:
Agora que temos o código IBGE (PKMUNICIPIO) e o código da UF (FK_UF) acessamos a tabela gm_cada_municipio no banco de NFe e clicamos no ícone 
para incluir uma nova linha:
Após a inclusão fica dessa forma:
Após esse processo vamos acessar o banco de Cep db_cep e precisamos validar se o nome da cidade na tabela cep_loc está igual a definida na gm_cada_municipio:
Nessa tabela vamos realizar a busca pela PK_Municipio (código IBGE), conforme abaixo consta como PARATI e não PARATY:
Nesse caso vamos realizar a correção para PARATY.           
Obs: Todas as tabelas que contenham a cidade devem constar preenchidas iguais, caso contrário o cep não será localizado. Sendo elas (gm_cada_municipio, cep_loc e cepbai).
Agora que corrigimos a tabela cep_loc, vamos buscar na tabela cepbai para validar se temos um bairro já cadastrado para essa cidade:
Obs: Mesmo sendo um cep geral (sem bairro) precisa constar o cadastro:
Na tabela cepbai vamos buscar pelo campo ibgemun que refere-se ao PK_Municipio (código IBGE):
Nesse caso não temos o cadastro então vamos cadastrar um novo.
Clicar 2 vezes sobre a coluna `idbairro` e ordenar do último código, dessa forma vamos definir o código manualmente:
Conforme acima podemos verificar que o último código é o 85623, vamos criar uma linha nova como 85624 clicando sobre o ícone 
Apenas o campo `sr_recno` não precisa ser preenchido pois é gerado de forma automática quando gravar, vamos preencher conforme abaixo:
Obs: No site dos correios não tem bairro para esse cep então deixamos ele em branco, caso houvese um bairro era só preenchero nome:
Agora que temos o código IBGE (pk_municipio/Ibgemun) e idbairro, vamos realizar o cadastro do cep, vamos na tabela cepend preencher o cep e endereço (caso não seja cep geral, nesse caso fica em branco), idbairro com o idbairro que geramos acima e o ibgemun. O campo `sr_recno` será gerado de forma automática:
Abaixo como vai ficar a tabela cepend depois do cadastro realizado:
Após os cadastros e validaçoes acima, é possível buscar o cep na aplicação:","cep, cadastro de cep, cadastro cep",https://unoerpwiki.herokuapp.com/Suporte/Cadastros/CadastroCEP
Cadastros Gerais 📜,Endereço certificado,"Mudança do caminho do certificado
Tela: CDW0002 - Empresas	Corpo:
Problema: Empresa não consegue emitir nota devido certificado estar sem",certificado,https://unoerpwiki.herokuapp.com/Suporte/Cadastros/EnderecoCertificado
Cadastros Gerais 📜,Conversão de medida,"Conversão de medida
Tela: 	Corpo:
Por favor responda a ocorrência referente a NF 162 recebimento 12732.
Conforme conversado com o Gabriel, a UN está como unidade
Itens da NF, exemplo:
Item 1: 11.000,00 e precisa entrar no sistema 22 pacotes.
Item 2: 22.500,00 e precisa entrar no sistema 45 pacotes.
Item 3: 11.000,00 e precisa entrar no sistema 22 pacotes.
Item 4: 16.000,00 e precisa entrar no sistema 32 pacotes.
Cada pacote contém 500 unidades.
Sendo assim foram criadas unidade abaixo.
Vinculado dentro de PCT (unidade do produto).
Recebimento gerado.
Recebimento do estoque incorreto.
Desde já agradeço a atenção.","conversão, medida",https://unoerpwiki.herokuapp.com/Suporte/Cadastros/ConversaoMedida
Cadastros Gerais 📜,Atualizar certificado E-notas,"Atualizar Certificado E-notas
Tela: SGW0042 - Painel NFS-e	Corpo: 0001
Descrição do Problema:
Renovação de certificado
Onde acessa:
http://app.enotasgw.com.br/login?returnUrl=%2F
Usuário: luciano.rodrigues@unosolucoes.com.br
Senha: Fidelidade1
Para renovar:
Clicar no ícone editar empresa, buscar pela empresa e selecionar.
A busca pode ser feita por Nome, CNPJ ou IE, caso tenha mais de uma empresa na mesma aplicação.
Clicar em: Certificado digital, colocar o arquivo no local indicado e senha, clicar no proximo. 
Para finalizar clicar no confirmar.
Para confirmar, clicar na empresa e validar a","certificado, e-notas",https://unoerpwiki.herokuapp.com/Suporte/Cadastros/CertificadoE-notas
Cadastros Gerais 📜,Cadastro de Regras de Icms,"Cadastro de regras de icms
Tela: CDW0039 - Cadastro de Regras 	Corpo: 0001
Todo produto ou serviço é composto por uma classificação fiscal que pode ser diferente entre as empresas existentes numa mesma aplicação.
Todo produto tem uma regra de ICMS vinculada a classificação fiscal. 
As exceções devem sempre ser tratadas nas NOPs.
Abaixo o fluxo de relacionamento entre as informações:
Quando o cadastro do produto é realizado ele é vinculado a uma classificação fiscal conforme abaixo:
Módulo Cadastros Gerais: Produtos e serviços → CDW0201 - Produtos e Serviços
A classificação fiscal é cadastrada através da tela CDW0011 - Classificação Fiscal, nessa tela é realizado o vínculo com a uma regra de ICMS:
Módulo Cadastros Gerais: Cadastros Iniciais → Classificação Fiscal → CDW0011 - Classificação Fiscal
A regra de ICMS é cadastrada através da tela  CDW0039 - Cadastro de Regras
Módulo Cadastros Gerais: Cadastros Iniciais → Regra de ICMS → CDW0039 - Cadastro de Regas de ICMS
A tela acima permite o cadastro de diferentes tipos de regras de ICMS e Substituição Tributária, nessa tela conseguimos cadastrar e localizar quais regras de ICMS são aplicadas para cada produto/classificação fiscal. Para isso precisamos saber a Origem fiscal, Tipo de Contribuinte e UF conforme acima.
Origem Fiscal: Origem da Mercadoria ou Serviço cadastrados na Tela CDW0037 - Cadastro de Origem Fiscal e que fica relacionada a empresa através da tela CDW0002 - Empresas.
Módulo Cadastros Gerais: Empresas → CDW0002 – Empresas
Tipo de Contribuinte: A cada tipo de contribuinte é definida uma forma específica de contribuição. Para cadastrar diferentes tipos de contribuinte acesse a tela CDW0038 - Tipo de Contribuinte. O vínculo consta no cadastro do cliente ou fornecedor conforme abaixo:
Módulo Cadastros Gerais: Clientes → CDW0101 - Clientes
Módulo Cadastros Gerais: Fornecedores → CDW0003 - Fornecedores
UF: Estado a ser aplicado as regras fiscais, neste campo a regra pode ser aplicada para um Estado específico ou para todos. Essa informação é a UF do cadastro do cliente ou fornecedor das imagens acima.
Vamos mostrar um exemplo prático para saber identificar qual regra de ICMS um determinado produto está vinculado.
Vamos usar os dados das imagens acima, cliente 1, produto 000016.
Ao incluirmos o cliente e produto no pedido, o sistema está aplicando a CST de ICMS 00 com alíquota de ICMS de 18%:
Primeiro precisamos das informações abaixo:
Qual tipo de contribuinte o cliente está cadastrado (vide imagem tela de cliente acima);
Qual UF é o endereço do cliente (vide imagem tela de cliente acima);
Qual a origem fiscal da empresa (Módulo Cadastros Gerais: Empresas → CDW0002 - Empresas);
Qual a classificação fiscal do produto e regra vinculada (Módulo Cadastros Gerais: Produtos e serviços → CDW0201 - Produtos e Serviços);
Com as informações acima em mãos podemos ir na regra de ICMS, pois já sabemos que o produto está vinculado a classificação fiscal 84439199, regra de ICMS Regra Padrão Cod 1, origem fiscal da empresa Estado de São Paulo, cliente tem UF SP e o tipo de contribuinte é Contribuinte CF.
Dúvidas, vide as imagens acima exibindo como localizar as informações. 
Vamos em Módulo Cadastros Gerais: Cadastros Iniciais → Regra de ICMS → CDW0039 - Cadastro de Regas de ICMS. Após buscar a regra vamos selecionar as opções de origem Fiscal, Tipo de contribuinte e UF:
Dessa forma temos como saber qual regra editar para cada fornecedor/cliente ou localizar qual regra está sendo aplicada no pedido de venda. No pedido de exemplo estava sendo aplicado CST de ICMS 00 com alíquota de 18%.","icms, regra, cadastro",https://unoerpwiki.herokuapp.com/pt-br/Regras-de-Icms
Cadastros Gerais 📜,Integração > HUBSPOT X UNO,"INTEGRAÇÃO > HUBSPOT X UNO
Tela: 	Corpo:
Problemas para integrar clientes do Hubspot no UNO
1 passo: Validar as informações com o cliente:
(Operações abaixo na plataforma do Hubspot)
Para integração com contato pessoa física:
CPF é obrigatório possuir 11 caracteres;
Não é obrigatório deal estar vinculado a uma empresa.
Para integração com contato pessoa jurídica:
CNPJ é obrigatório possuir 14 caracteres;
Obrigatório deal estar vinculado a uma empresa e contato.
Não é preenchido o CPF no contato do cliente.
Se houver erro na integração, será enviado um e-mail para o remetente do parâmetro: “Email para envio dos erros”, com informações a respeito.
2 passo: Verificar os parâmetros:
Cadastros Gerais > Cadastros Iniciais > Parâmetros Iniciais > Modulo: HUBSPOT
Esse parametro de ‘","hubspot, integração, uno",https://unoerpwiki.herokuapp.com/pt-br/Integra%C3%A7%C3%A3o-hubspot-uno
Cadastros Gerais 📜,Configurador,"Configurador
Tela: VDD0601 	Corpo: 0001 (01.01)
Permissões Relacionadas: 	VDD0601 - Configurador
A tela VDD0601 - Configurador é acessada através da tela CDW0201 - Produtos e Serviços pelo botão “Configurar” ou incluindo o item que consta parametrizado como configurador no pedido de venda:
Módulo Vendas: Pedidos → VDW0001 - Pedidos
Módulo Cadastros Gerais: Produtos e serviços → CDW0201 - Produtos e Serviços
Obs: Para que o botão seja exibido é necessário que o item conste vinculado a um “Cod Configurador Produto” na aba “Detalhes”.
O “Cod configurador Produto” deve estar previamente cadastrado através da tela VDW0601 - Configurador de Produtos:
Módulo Cadastros Gerais: Configurador de produtos → VDW0601 - Configurador de Produtos
Ao clicar no botão Configurar o sistema exibe a tela VDD0601 – Configurador:
O sistema exibe as perguntas de acordo com o que foi determinado no “Cod Configurador Produto”, e exibe as respostas previamente cadastradas. Após selecionar a resposta clicar no Botão próximo passo, com isso é exibido uma prévia do que está sendo configurado:
Após responder as perguntas o sistema cria um cadastro do produto de acordo com as respostas selecionadas no Configurador:",configurador,https://unoerpwiki.herokuapp.com/pt-br/Configurador
Cadastros Gerais 📜,Erros em notas fiscais,"Erros em notas fiscais
Tela: SGW0028 	Corpo: 0001 (01.01)
Descrição do Problema:
Rejeição: cEAN inválido
Descrição da Solução:
cEAN é definido dentro do cadastro do produto, para ser usado é necessário ser um número válido, para que seja autorizada a nota pela SEFAZ. Caso não saiba deixar o campo em branco, pois não é um campo obrigatório.
Onde altera:
Cadastros Gerais > Cadastros iniciais > Classificação Fiscal.       
No banco de dados:
Pegar o FK do item ir em > gm_nfe_h00_produto e apagar ou preencher com o valor correto nos campos I00_cEAN e I00_cEANTrib.","erros, fiscais, notas",https://unoerpwiki.herokuapp.com/pt-br/Erros-em-notas-fiscais
Cadastros Gerais 📜,Suframa,"Suframa
Tela: CDW0101  	Corpo:
Quando se tratar de notas fiscais emitidas para localidades que se beneficiam do IPI e ICMS:
As notas fiscais devem conter o nº de inscrição na SUFRAMA 
Indicação do valor abatido do preço da mercadoria equivalente ao imposto (ICMS) que seria devido se não houvesse a isenção indicada na nota fiscal. 
Informar o Convênio ICM (65/88) que isenta as remessas de produtos industrializados de origem nacional a serem comercializadas ou industrializadas na área incentivada e a legislação que dá a suspensão/isenção para o IPI (RIPI –Decreto 4.544/025).
Quando as notas fiscais forem emitidas para localidades que usufruem somente o incentivo do IPI a esta deverá apresentar a indicação da legislação referente a suspensão do IPI.
São isentos do imposto as saídas de produtos industrializados de origem nacional para comercialização ou industrialização na Zona Franca de Manaus com exceção de: armas e munições, perfumes, fumo, bebidas alcoólicas e automóveis de passageiros.
Como parametrizar as informações no UNO ERP
CDW0101 – Clientes
Para que a NF-e seja emitida em acordo com as regras da Suframa primeiramente deve-se informar o código Suframa do cliente no passo 3 da tela para que a informação seja informada no XML da NF-e e também nos dados acionais da NF-e.
Obs: Não existe no DANFE um corpo próprio para essa informação e por esse motivo é exibido nos dados adicionais, já no XML a informação consta na tag ISUF.
CDW0001 - Parâmetros do Sistema
O parâmetro: Indica se Imprime a Obs. do Item na NF/DANFE deve estar = Sim para que a matricula Suframa do cliente seja exibida.
CDW0018 - Cadastro de NOP
Para todas as operações para Zona Franca a NOP deve estar com as seguintes opções ativadas:
Mercadoria destinada a revenda ou Industrialização:
- Operação Isenta de ICMS e IPI definir a NOP conforme abaixo e preencher as CST dos impostos conforme orientação de sua contabilidade ou área fiscal.
Na tela VDW0001 – Pedidos para esse tipo de operação o cliente deverá estar com a opção de consumidor final desmarcada para que seja gerada a desoneração do ICMS calculado.
B) Mercadoria destinada a Uso/Consumo:
- Operação Isenta de IPI, devendo constar no corpo da NF o Código Suframa do cliente definir a NOP conforme abaixo e preencher as CST do IPI conforme orientação de sua contabilidade ou área fiscal.
Obs: A CST de ICMS pode ser definida como diferenciada ou usar a da regra de ICMS já vinculada ao item. Lembrando que as alíquotas de ICMS devem ser definidas na regra pu no pedido.
Na tela VDW0001 – Pedidos para esse tipo de operação o cliente deverá estar com a opção de consumidor final marcada para que não seja gerada a desoneração do ICMS calculado.
Fonte: http://www.suframa.gov.br/suframa_fale_conosco_faq_internamento.cfm",suframa,https://unoerpwiki.herokuapp.com/pt-br/Suframa
