Categoria,Titulo,Conteudo,Palavras chave,Url
Rejeições NFE,Rejeição: 201 - O número máximo de numeração de NF-e a inutilizar ultrapassou o limite.,"Rejeição

A rejeição 201 ""O número máximo de numeração de NF-e a inutilizar ultrapassou o limite"" ocorre quando se tenta inutilizar mais de 10.000 números de NF-e.

Dicas

Solução 

Para inutilizar todos os números, é preciso fazer mais de um registro. Por exemplo, inutilizar a faixa de 1 a 10.001 e depois a faixa de 10.002 a 10.002. 
Informar um número menor de notas a ser inutilizado. 
Verificar a numeração a ser inutilizada. 

Como consultar o status de uma NF-e inutilizada? 

É possível consultar o status de uma NF-e inutilizada gratuitamente no Portal Nacional da Nota Fiscal Eletrônica (www.nfe.fazenda.gov.br).","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-201
Rejeições NFE,Rejeição: 202 - Falha no reconhecimento da autoria ou integridade do arquivo digital.,"Rejeição
Rejeição: 202 - Falha no reconhecimento da autoria ou integridade do arquivo digital.
Causa
Motivo
Essa rejeição indica uma falha no 'namespace' do arquivo template utilizado para a UF, entretanto, quase sempre trata-se de alguma falha técnica na própria Sefaz.
Exceções
Para essa regra de validação, não há exceções nem observações.
Exemplo
Não há.
Como Resolver no UNO ERP
Para corrigir esse problema, deve se aguardar alguns minutos e reprocessar o arquivo. Caso a situação não seja solucionada, será necessário entrar em contato com a Sefaz do estado emissor.
Referência
www.oobj.com.br/erro-202
Dicas
Erro pode vir em conjunto com outro código, da qual, ao solucionado o outro código, este não seja mais apresentado.","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-202
Rejeições NFE,Rejeição: 203 - Emissor não habilitado para emissão de NF-e.,"Rejeição

A rejeição ""Emissor não habilitado para emissão da NF-e"" significa que a empresa não está autorizada pela SEFAZ (Secretaria da Fazenda) do seu estado a emitir a nota fiscal.

Motivos da rejeição 

A empresa está em situação irregular perante o Fisco
O CNPJ da empresa ainda não foi credenciado na SEFAZ
A empresa tem pendências na SEFAZ ou na Receita Federal
Dicas

Como resolver 

Consulte a sua Inscrição Estadual ou CNPJ através do SINTEGRA ou do Cadastro Centralizado de Contribuintes (CCC) 
Entre em contato com o seu contador 
Situação de empresas recém-criadas 
Empresas recém-criadas que ainda estão em processo de cadastramento na SEFAZ podem apresentar esta rejeição. 
Considerações sobre o credenciamento 
Cada estado tem autonomia para trabalhar por conta própria, logo os credenciamentos variam de uma UF para outra. 

 

 ","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-203
Rejeições NFE,Rejeição: 204 - Duplicidade de NF-e. OK,"Rejeição

Esta rejeição ocorre quando o número da NF-e já foi autorizado anteriormente na Secretaria da Fazenda (Sefaz), causando o erro de duplicidade

Este erro ocorre também pode acontecer quando a Sefaz passa por uma instabilidade, pois durante a instabilidade a Sefaz autoriza a NF-e mas não retorna como Emitida com sucesso.

Dicas

Dessa forma, apenas siga consultando a nota de tempo em tempo na lupa que fica ao lado direito da nota com o erro em questão 

Caso a sefaz esteja passando por instabilidade, é recomendado consultar a nota de 15 em 15 minutos, para que a mesma não seja bloqueada pela sefaz!","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-204
Rejeições NFE,Rejeição: 205 - NF-e está denegada na base de dados da SEFAZ.,"Rejeição

A rejeição 205 significa que a nota fiscal eletrônica (NF-e) está denegada na base de dados da SEFAZ. Isso acontece quando a numeração da nota já foi utilizada anteriormente e está denegada. 

Motivos para a denegação de uma NF-e 

Problemas com o CNPJ ou Inscrição Estadual da empresa
Irregularidade do CNPJ do destinatário na SEFAZ
Pendências do emitente junto à Secretaria da Fazenda/Receita
Pendências do destinatário junto à SEFAZ, como CPF suspenso ou dívida ativa

O que fazer se houver uma sequência de notas denegadas? 

Caso tenha este retorno com uma sequência de notas, é necessário consultar sua contabilidade e verificar o motivo das notas estarem como denegadas. 

Dicas

Para resolver a rejeição 205, é necessário emitir uma nova nota fiscal com um número diferente. ","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-205
Rejeições NFE,Rejeição: 206 - NF-e já está inutilizada na base de dados da SEFAZ.,"Rejeição

A rejeição 206 ""NF-e já está inutilizada na base de dados da SEFAZ"" ocorre quando a numeração da nota fiscal já foi inutilizada. Para resolver, é necessário emitir uma nova nota fiscal com um número diferente. 

Por que ocorre a rejeição? 

A rejeição 206 pode ocorrer quando: 

Uma faixa de notas fiscais é inutilizada, mas o sistema emissor não está preparado corretamente 
Uma numeração que já foi inutilizada é reutilizada 
Como consultar as numerações inutilizadas? 
Você pode consultar as numerações inutilizadas no site da SEFAZ do seu estado. 
Dicas

Como resolver? 

Confirme se o número da nota já foi inutilizado consultando o site da SEFAZ 
Emita uma nova nota fiscal com um número diferente. 
Se a rejeição ocorrer em uma sequência de notas, verifique com a contabilidade qual é o próximo número que deve ser emitido.

 

 ","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-206
Rejeições NFE,Rejeição: 207 - CNPJ do emitente inválido.,"Rejeição

A rejeição 207 significa que o CNPJ do emitente é inválido. Isso pode acontecer por vários motivos, como o tamanho do CNPJ, o posicionamento dos números ou o dígito verificador.

Dicas

Para resolver a rejeição 207, você pode: 

Verificar se o CNPJ está correto no sistema
Consultar o site da Receita Federal para verificar se o cadastro está ativo e correto
Verificar se o CNPJ está credenciado como emissor de NF-e, verificar se a situação do CNPJ está habilitada
Verificar se a situação IE está habilitada
Verificar do status do seu cadastro na SEFAZ","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-207
Rejeições NFE,Rejeição: 208 - CNPJ do destinatário inválido.,"Rejeição

A rejeição 208 significa que o CNPJ do destinatário está inválido, ou seja, foi informado incorretamente. Isso pode acontecer ao emitir uma nota fiscal eletrônica. 

Causas da rejeição 208 

O CNPJ foi preenchido com zeros
O dígito verificador está incorreto
O número de dígitos do CNPJ é diferente de 14
Dicas

Como resolver a rejeição 208 

Para resolver a rejeição 208, deve informar o CNPJ válido do destinatário, que exista no Sintegra. Depois, basta inutilizar a NFe errada, recarregar a empresa no pedido e faturar novamente.","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-208
Rejeições NFE,Rejeição: 209 - IE do emitente inválida.,"Motivos da rejeição

A rejeição 209 ""IE do emitente inválida"" ocorre quando a Inscrição Estadual (IE) do emitente não está válida. Isso pode acontecer por vários motivos, como: 

O código da IE está fora do padrão exigido (entre 2 e 14 caracteres numéricos)
O posicionamento de alguns números está incorreto
O dígito verificador está errado
A IE não está vinculada ao CNPJ
Dicas de correção

Para corrigir esse problema:

Se o erro for no cadastro do cliente:

Precisa validar no cadastro a IE que esta cadastrada de acordo as informações do SINTEGRA:

Para fazer a validação, clique no botão ‘Sintegra’, coloque a UF do cliente e consulte:

 ","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-209
Rejeições NFE,Rejeição: 210 - IE do destinatário inválida.,"Rejeição

Rejeição: IE do destinatário invalida.

Dicas

No cadastro mostra que a IE do cliente do é RJ, mas o endereço definido no pedido é de SP, por este motivo  SEFAZ não valida.","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-210
Rejeições NFE,Rejeição: 211 - IE do substituto inválida.,"Rejeição

A rejeição 211 significa que a Inscrição Estadual do Substituto Tributário (IEST) foi informada incorretamente. 

Causa:

A IEST informada no cadastro da empresa é inválida
Dicas

Como resolver :

Verifique se a IEST cadastrada está correta
Edite a IEST caso esteja errada
Exclua a IEST caso não esteja cadastrada
Clique em ""Salvar""
Saia e entre no sistema novamente
Tente Gerar a NF-e novamente

Considerações :

A IEST é única para cada UF (Estado) 
Na validação da IEST são consideradas as regras da UF do Local de Entrega para operação de Faturamento Direto de veículos novos 
Nos demais casos, são consideradas as regras da UF do destinatário 
A IEST do Substituto Tributário deve ser diferente da IE do emitente e do destinatário ","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-211
Rejeições NFE,Rejeição: 212 - Data de emissão NF-e posterior à data de recebimento.,"Rejeição

A rejeição 212 ocorre quando a data e hora de emissão de uma Nota Fiscal Eletrônica (NF-e) é posterior à data e hora da Secretaria da Fazenda (SEFAZ). 

Motivos da rejeição Erros de digitação, Atrasos na emissão, Mudanças no horário de verão, O sistema emissor não foi atualizado para o novo fuso horário da SEFAZ.

Dicas

Como resolver 

Verifique a data e hora de emissão da NF-e
Compare com a data e hora da SEFAZ do seu estado
Corrija a data de emissão no software de emissão
Inutilize a NFe errada e fature novamente","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-212
Rejeições NFE,Rejeição: 213 - CNPJ base do Emitente difere do CNPJ base do Certificado Digital. OK,"Rejeição
Rejeição: 213 - CNPJ base do Emitente difere do CNPJ base do Certificado Digital
Causa
Motivo
Quando uma NF-e for emitida com um CNPJ-Base (CNPJ do emitente) diferente do CNPJ-Base do Certificado Digital, será retornado a rejeição ""213 - CNPJ-Base do Autor difere do CNPJ-Base do Certificado Digital"".

Há duas situações em que pode ocorrer essa situação:

Quando o CNPJ-Base do emitente for informado errado;
Quando a NF-e for assinada com um Certificado Digital errado.
Exceções
À Criar
Exemplo
À Criar
Como Resolver no UNO ERP
Deve-se verificar se o CNPJ-Base do emitente foi informado corretamente na NF-e. Caso esteja correto o CNPJ-Base do emitente, é preciso confirmar se o Certificado Digital usado para assinar a NF-e é realmente o certificado emitido para o CNPJ-Base do emitente.
Entrar em contato com empresa/cliente e validar se o CNPJ e o certificado estão corretos, de acordo com o CNPJ cadastrado.
Referência
www.oobj.com.br/erro-213
Dicas
Erro pode vir em conjunto com outro código, da qual, ao solucionado o outro código, este não seja mais apresentado.","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-213
Rejeições NFE,Rejeição: 214 - Tamanho da mensagem excedeu o limite estabelecido.,"Detalhe do Erro

A rejeição 214 significa que a mensagem enviada à SEFAZ excedeu o limite de tamanho estabelecido. 

Onde ocorre a rejeição 214? 

Ao emitir uma NF-e
Ao emitir um CT-e
Ao tentar realizar o processo de Envio de Nota Fiscal Eletrônica pelo componente FISFP093

O que é o limite de tamanho da mensagem?

O limite de tamanho do arquivo que deve ser transmitido à SEFAZ para se obter a autorização de uso é de 500 Kbytes
Dicas de Correção

O que fazer para resolver a rejeição 214? 

Reduzir o tamanho da mensagem enviada à SEFAZ
Dividir a mensagem em duas ou mais NFS-e
Resumir as informações de forma que ocupem menos caracteres

Como reduzir o tamanho da mensagem? 

Dividir a NF-e em outras 2 
Caso a NF-e contenha muitos produtos, divida esses produtos e emita 2 NFS-e com numerações diferentes para esse mesmo cliente 
Eliminar itens do documento ","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-214
Rejeições NFE,Rejeição: 215 - Falha no schema XML. OK,"Rejeição

Falha no schema XML - Ocorre quando o arquivo XML da nota fiscal não segue as regras do schema XSD exigido pela SEFAZ

Dicas

Este erro se trata, quando na descrição da inutilização de Nf, contem menos de 15 caracteres ou caracteres especiais. É necessário descrever a inutilização com no mínimo 15 linhas e sem caracteres especiais.   ","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-215
Rejeições NFE,Rejeição: 216 - Chave de acesso difere da cadastrada.,"Rejeição

A rejeição 216 significa que a chave de acesso informada é diferente da que está cadastrada na base de dados da SEFAZ. 

Pode ocorrer quando: 

Tenta transmitir uma nota fiscal para a SEFAZ
Tenta vincular um evento a uma NF-e autorizada
Tenta consultar um CT-e
Dicas

Para corrigir, deve informar a chave de acesso que consta na base de dados do órgão autorizador. 

Como corrigir? 

Verifique a numeração do documento 
Certifique-se de que todos os campos que compõem a chave de acesso coincidem com os dados do documento original 

Este erro pode ocorrer quando: 

Já existe uma NFC-e na base de dados da SEFAZ para o mesmo CNPJ 
A Sefaz passa por uma instabilidade ","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-216
Rejeições NFE,Rejeição: 217 - NF-e não consta na base de dados da SEFAZ. OK,"Rejeição

Rejeição: NF-e não consta na base de dados da SEFAZ

Dicas

Para resolver a Rejeição 217: NF-e não consta na base de dados da SEFAZ, será necessário consultar a chave de acesso da NF-e em questão no portal nacional da SEFAZ ou no portal estadual da SEFAZ. Caso não encontrada no portal nacional consulte também no portal estadual. Caso não consiga, poderá entrar em contato com o suporte para resolução do problema. ","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-217
Rejeições NFE,Rejeição: 234 - IE do destinatário não vinculada ao CNPJ. OK,"Rejeição

Esta rejeição ocorre quando a o CNPJ do cliente está com a situação BAIXADO ou a IE foi preenchida de forma incorreta no cadastro do cliente, por conta disso a SEFAZ retorna com a mensagem “IE do destinatário não vinculada ao CNPJ”. 

Dicas

É necessário conferir o CNPJ do cliente no site do SINTEGRA pelo seguinte link: http://www.sintegra.gov.br/  por lá é possível conferir se o CNPJ está ativo e o número correto da IE. 

Caso o CNPJ esteja com a situação BAIXADO é necessário orientar o solicitante a conferir essa informação com o cliente.

Caso seja necessário corrigir a IE no cadastro, seguir os seguintes passos para emitir a nota com os dados corretos:

Inutilizar a nota que está com a rejeição e reabrir o pedido.
Corrigir o cadastro do cliente.
Acessar o pedido de venda e recarregar o cliente. 

Após essas validações é só realizar o faturamento. 

 ","nfe, erros comuns nfe, resoluções nfe, erros comuns e resoluções - nf-e, erros comuns e resoluções - nfe",https://unoerpwiki.herokuapp.com/pt-br/menu-implantacao/configuracao-plugins/configuracao-nf-e/erros-nfe/rejeicao-234
